ddias;danieldias@gmail.com;ddias123;Daniel Dias
jgoncalves;josegoncalves@isep.pt;jgoncalves123;Jose Goncalves
cmadureira;cmadureira@gmail.com;gmadureira123;Carlos Madureira
afonseca;afonseca@gmail.com;afonseca123;Antonio Fonseca
jlemos;jlemos@altran.pt;jlemos123;Joana Lemos
cr7;cronaldo@isep.pt;cronaldo123;Cristiano Ronaldo
pcosta;pcosta@fcp.com;pcosta123;Pinto Costa
elopes;elopes@gmail.com;elopes123;Eugenia Lopes
isobral;isobral@sapo.pt;isobral123;Ines Sobral
altranpt;altranpt@altran.pt;altran123;Altran Portugal
farfetch;farfetch@gmail.com;farfetch123;Farfetch
